SampleID,AT3G26740,AT5G37260,AT3G14080,AT5G67380,AT4G39260,AT2G21320,AT5G51200,AT5G02840,AT2G46340,AT5G36910,AT5G62430,AT1G09530,AT5G64813,AT1G22770,AT1G12910,AT3G04910,AT1G09340,AT3G42170,AT3G54340,AT5G51810,AT1G69830,AT1G59940,AT4G18290,AT2G25930,AT1G77180,AT5G10140,AT5G61380,AT2G21150,AT4G08920,AT3G54500,AT2G46830,AT1G75950,AT5G52660,AT1G78580,AT4G25420,AT1G01060,AT3G30180,AT4G35090,AT2G23080,AT2G21070,AT3G27920,AT5G57360,AT5G08330,AT1G13260,AT5G24470,AT3G01650,AT1G31500,AT5G64170,AT2G44680,AT1G19120,AT2G02570,AT5G58350,AT3G22231,AT5G02810,AT5G60100,AT1G54380,AT4G24500,AT2G18915,AT5G59560,AT1G69570,AT5G14420,AT3G26640,AT2G23070,AT5G28770,AT3G07640,AT4G36710,AT3G60250,AT2G40080,AT1G10470,AT5G05690,AT3G22380,AT3G20810,AT3G46640,AT3G18750,AT5G20630,AT2G21660,AT3G09600,AT1G19330,AT5G47390,AT1G26800,AT3G22420,AT3G50000,AT4G25470,AT2G31870
GSM131066,-2.7773192307028203,0.0568615061851656,-0.0990743113313834,0.0417731577639415,-3.216641439891149,1.005872936325106,0.0417731577639416,0.5413108116064967,0.7056400838386736,0.7485276717154126,0.8710622788222183,0.7866510194178025,0.0417731577639416,-0.5294857571126901,-0.5466647941662649,-3.216641439891149,0.2788214372987675,-0.5466647941662649,-0.2782019300835058,0.4550073586836424,-0.076401978294126,0.1612741616159227,-0.2782019300835057,-0.2782019300835059,0.2673195299844899,0.7866510194178025,-2.991108043458546,0.7060872327437796,0.5413108116064969,1.1565169800510882,1.255647151457077,0.3643096955086544,0.1612741616159226,0.1612741616159227,0.1612741616159227,1.3505381842287043,0.3643096955086544,0.2673195299844898,0.6246291482595446,-0.2782019300835059,-0.0990743113313833,-0.0990743113313835,-0.2782019300835058,0.0417731577639414,-3.2166414398911485,-0.2782019300835057,-0.0990743113313835,0.969805107500777,0.1612741616159226,0.4550073586836418,0.26731952998449,-3.216641439891148,0.8280690030141036,0.2810258721078747,-2.7601802574613648,0.3643096955086543,-3.2166414398911485,-0.2782019300835058,-0.2782019300835057,0.3643096955086542,-0.5466647941662649,0.2673195299844901,0.541310811606497,0.5413108116064942,-0.5466647941662648,0.0417731577639416,0.26731952998449,-3.2166414398911485,0.7866510194178026,0.2688441687975156,-0.2782019300835057,-0.195012677823114,-0.5466647941662649,0.7060872327437795,-2.8374996146767426,-3.119951460815688,1.0451013442485193,-3.2166414398911485,0.2673195299844901,0.324236004444393,0.4550073586836418,-0.5466647941662648,0.0417731577639411,-0.2782019300835057
GSM131067,0.5306266780240531,-3.1021224026784653,-3.216641439891148,0.7866510194178022,-0.5466647941662651,0.3720206654365466,-0.2782019300835058,0.4550073586836417,0.4981590851450694,1.1525427335064506,1.2656380304897994,-0.546664794166265,0.6246291482595446,0.5414308430471989,0.7866510194178026,0.6246291482595446,-0.2418660341165398,0.26731952998449,0.4550073586836417,0.7866510194178024,0.370225418594432,-0.0990743113313833,-3.2166414398911485,-0.0990743113313835,-3.2166414398911485,-3.216641439891149,-0.4829277523126513,-3.216641439891149,0.4550073586836417,0.8041811952860525,0.4491959630905145,0.7866510194178025,0.7866510194178022,-0.2782019300835058,0.3643096955086543,0.6183037610886455,0.6246291482595447,0.1612741616159225,0.7060872327437795,0.26731952998449,0.2673195299844901,-0.2782019300835057,0.7866510194178025,0.6246291482595444,0.4550073586836417,0.6246291482595447,-0.2782019300835058,1.2140081435512349,-3.2166414398911485,0.0417731577639416,-0.5466647941662649,0.0417731577639416,0.2816402001807604,0.7706009680889199,-0.1879415529880155,-0.546664794166265,0.7060872327437794,-0.5466647941662649,0.2673195299844901,0.7060872327437796,0.6246291482595449,-0.5466647941662648,0.7866510194178025,0.7060872327437766,-0.2782019300835057,-0.2782019300835057,0.5413108116064969,-0.5466647941662649,-0.0990743113313834,0.7053470571738749,0.7060872327437795,-2.800538852971976,-0.0990743113313833,0.1612741616159227,-0.2013590385129443,-0.2571526812404773,0.3824467340838018,0.26731952998449,0.7866510194178025,1.2933115314419474,-0.5466647941662648,0.4550073586836418,0.6246291482595442,0.3643096955086541
GSM131068,1.1183548457534216,0.172715930767327,0.1612741616159227,0.4550073586836417,0.7866510194178025,-3.0274952733455534,0.7866510194178025,-3.2166414398911485,-3.2166414398911485,0.4063362665931458,0.0987804342832389,0.5413108116064969,0.4550073586836418,1.0244175935546922,0.5413108116064971,0.7866510194178024,-3.0465378028089587,0.3643096955086544,-3.2166414398911485,0.5413108116064967,1.0969452578929602,-3.2166414398911485,-0.5466647941662649,0.7866510194178025,0.7060872327437795,-0.546664794166265,1.0811378157244975,0.0417731577639415,0.6246291482595446,0.2860791397858624,-0.3948817576831248,0.0417731577639416,-3.2166414398911485,0.3643096955086544,0.4550073586836417,-2.354260986821879,0.5413108116064969,-3.216641439891149,-0.2782019300835057,0.7866510194178025,0.7866510194178025,0.3643096955086543,0.4550073586836419,0.7060872327437822,0.7866510194178022,0.0417731577639416,0.7060872327437795,0.1937521261616553,0.6246291482595446,0.1612741616159227,0.7866510194178024,-0.0990743113313834,-0.1081854458042693,0.923339391884264,0.8860349194597438,-3.2166414398911485,0.5413108116064967,0.5413108116064971,0.0417731577639416,0.5413108116064967,-3.216641439891148,0.3643096955086544,0.0417731577639416,0.3643096955086516,0.7866510194178025,-0.0990743113313833,0.7866510194178024,0.7866510194178024,0.455007358683642,0.4555631976254245,0.5413108116064969,0.8206329659266771,0.7060872327437799,-0.2782019300835058,0.6085911514086556,1.0193137422619354,-1.6357754317013982,-0.0990743113313835,0.4550073586836419,0.705014818176167,-0.0990743113313833,0.6246291482595447,0.5413108116064965,0.1612741616159226
GSM131069,0.6756714927734967,0.541155742865708,0.7060872327437795,0.26731952998449,0.26731952998449,-0.2379369769509647,-0.546664794166265,-0.5466647941662649,-0.2782019300835057,0.0222665413115101,-2.675963393181457,0.6246291482595447,0.5413108116064969,0.1673530098820092,0.0417731577639416,0.3643096955086543,0.3713962812519908,0.6246291482595447,0.5413108116064969,0.0417731577639421,0.5408259282413661,0.0417731577639418,0.3643096955086543,0.541310811606497,-0.2782019300835058,0.4550073586836418,0.7695912353943678,-0.2782019300835057,-3.2166414398911485,-0.1287361471532101,-2.644787373238349,0.7060872327437797,0.6246291482595446,-3.216641439891148,-3.2166414398911485,-0.3310064828352331,-0.2782019300835057,-0.2782019300835058,0.0417731577639416,0.0417731577639416,-0.5466647941662648,-3.2166414398911485,0.0417731577639416,0.5413108116064967,0.2673195299844899,0.2673195299844901,0.7866510194178022,-0.4372199300182341,-0.546664794166265,-0.0990743113313833,0.0417731577639414,0.1612741616159228,-0.3000270452181739,0.0684027420362851,1.198815096332556,0.4550073586836417,0.3643096955086543,0.3643096955086544,0.3643096955086544,-0.2782019300835057,0.2673195299844901,0.7060872327437795,0.7060872327437797,0.1612741616159201,0.5413108116064969,0.3643096955086544,-0.2782019300835058,0.6246291482595446,0.6246291482595449,-0.2738614394172343,0.2673195299844901,1.2096900591673347,0.7866510194178024,0.26731952998449,0.5338443862441916,0.5412643251079218,-0.2590094946844364,0.7866510194178022,0.3643096955086544,0.4395722809002744,0.1612741616159227,0.1612741616159227,0.2673195299844896,0.2673195299844899
GSM131070,0.2894452370658435,0.9360871470744184,0.0417731577639416,-0.546664794166265,0.6246291482595447,0.2799446774832236,0.1612741616159228,0.1612741616159227,0.3512924866112099,-0.28798727700449,-0.4023112856407155,-0.2782019300835057,-3.216641439891148,-3.157598277995077,-3.216641439891148,0.2673195299844899,0.8514074440736111,-0.0990743113313834,0.7060872327437795,-0.0990743113313834,-0.2490520933027866,0.5413108116064969,0.1612741616159227,0.7060872327437797,0.0417731577639415,0.2673195299844899,0.3728431265816805,0.4550073586836418,0.26731952998449,-2.363129691014959,0.1009764568722118,0.1612741616159228,-0.5466647941662649,0.5413108116064969,0.26731952998449,0.1148999405283462,-3.2166414398911485,0.5413108116064966,-0.0990743113313833,0.541310811606497,0.6246291482595447,0.1612741616159226,0.26731952998449,0.1612741616159226,0.1612741616159226,-0.5466647941662648,0.5413108116064969,-2.81691755838782,-0.2782019300835058,0.2673195299844901,0.6246291482595444,-0.2782019300835058,0.2058609554506914,-3.0033128612939355,0.6023748838704817,0.7060872327437795,0.4550073586836416,-3.216641439891148,0.7060872327437795,-0.546664794166265,0.0417731577639416,0.6246291482595447,-0.546664794166265,-0.0990743113313858,0.4550073586836418,0.4550073586836418,0.0417731577639416,0.3643096955086543,0.7060872327437797,0.1633461813642676,0.0417731577639416,0.4551269583234685,0.5413108116064967,0.4550073586836417,0.4564196057259518,0.4571824786462092,0.3699556907536704,0.5413108116064969,-3.216641439891148,0.0222888354299705,0.5413108116064969,0.2673195299844901,0.1612741616159222,0.0417731577639415
GSM131071,-0.4270662922568668,0.457485844241123,-0.2782019300835058,-3.2166414398911485,0.3643096955086543,0.8494452027952752,0.3643096955086544,0.3643096955086543,0.7056400838386736,0.1198970021072774,0.733090521872017,0.3643096955086543,0.26731952998449,-0.2652322792339375,0.2673195299844901,-0.2782019300835057,0.5403397057089965,-3.216641439891148,-0.0990743113313835,-0.5466647941662635,-3.081233544987889,0.3643096955086543,0.5413108116064967,0.26731952998449,0.6246291482595446,0.3643096955086543,0.0698517920166213,0.6246291482595447,0.0417731577639415,0.6197187192388984,1.0081273948270606,-0.546664794166265,0.7060872327437795,0.7060872327437795,0.5413108116064969,1.243806810125292,0.2673195299844901,0.6246291482595444,-0.5466647941662649,0.3643096955086544,0.1612741616159227,0.4550073586836417,-0.5466647941662649,-0.0990743113313834,-0.2782019300835058,-3.2166414398911485,0.4550073586836417,0.3747137009577938,0.7060872327437795,0.6246291482595447,0.3643096955086543,-0.546664794166265,0.3509486631786041,-0.2332385747946928,-0.0311375784782534,0.5413108116064969,0.2673195299844899,0.455007358683642,0.5413108116064969,0.6246291482595445,-0.0990743113313834,0.1612741616159227,0.1612741616159228,0.041773157763939,0.1612741616159227,0.2673195299844901,-0.0990743113313834,0.1612741616159227,0.1612741616159228,-3.1971334243060388,-0.0990743113313833,0.1946725467503675,0.0417731577639416,0.6246291482595446,0.1929049079511386,0.0545856710130659,0.7732323971713307,-0.546664794166265,-0.546664794166265,0.1919353558175507,0.7060872327437795,-3.2166414398911485,-0.2782019300835063,0.4550073586836415
GSM131072,-0.0330737645740917,-0.5136202314211945,0.4550073586836418,-0.0990743113313835,-0.2782019300835058,0.7729633222748912,-0.0990743113313834,0.7866510194178024,0.2673195299844901,1.2501731943022178,1.0927405745214016,0.1612741616159226,-0.0990743113313834,0.049725732136237,0.455007358683642,0.1612741616159226,0.1776036140727999,0.0417731577639416,0.6246291482595446,0.7060872327437795,0.1745319318969231,0.7866510194178025,-0.0990743113313833,-0.546664794166265,0.4550073586836417,0.0417731577639415,-0.2307333124567383,0.5413108116064969,0.7060872327437795,1.3544863257415838,1.0845554722118869,0.6246291482595447,0.2673195299844899,0.0417731577639416,0.6246291482595445,1.1532513572670873,0.1612741616159228,0.4550073586836415,0.4550073586836417,-0.0990743113313834,0.4550073586836418,0.7866510194178022,0.6246291482595447,-0.5466647941662649,-0.546664794166265,-0.0990743113313833,-0.546664794166265,0.7511382095685076,-0.0990743113313835,0.7060872327437795,-0.2782019300835058,0.3643096955086544,0.9545527061745844,0.4579596583686064,-0.4229474353288253,0.0417731577639415,0.0417731577639415,0.7866510194178026,0.6246291482595447,0.4550073586836416,0.7060872327437797,0.0417731577639416,0.3643096955086544,0.6246291482595417,-3.2166414398911485,-0.5466647941662648,-3.216641439891148,0.0417731577639416,-0.2782019300835058,0.6243094399213567,-0.5466647941662648,-0.4330597831279464,-3.2166414398911485,-0.0990743113313834,-0.0406595983754201,-0.5187048272323139,0.6415393525579483,-0.2782019300835057,0.6246291482595447,0.8155426275299417,0.2673195299844901,0.5413108116064969,-0.099074311331384,-3.2166414398911485
GSM131073,0.8175044010621376,-0.0796879951571461,-0.5466647941662649,0.3643096955086543,0.541310811606497,0.0658260094794993,0.7060872327437797,0.7060872327437795,0.2483902582237917,3.411159950297,0.5241679901158584,-3.216641439891149,0.7866510194178024,0.6234427827874132,0.6246291482595449,0.5413108116064967,-0.4981075573203012,0.4550073586836419,0.1612741616159226,0.6246291482595446,0.6211313579997157,-0.5466647941662648,0.2673195299844901,0.1612741616159228,0.3643096955086543,0.5413108116064969,0.2817304114228402,-0.546664794166265,0.7866510194178022,1.0758799325133337,0.5921309275211601,0.2673195299844901,0.5413108116064967,0.6246291482595446,0.7866510194178024,0.5565764659893627,0.7060872327437795,0.0417731577639413,0.1612741616159227,0.7060872327437797,-0.2782019300835057,-0.546664794166265,0.7060872327437796,0.7866510194178024,0.7060872327437795,0.7866510194178025,-3.2166414398911485,0.6067313050524455,0.0417731577639415,-0.5466647941662648,0.1612741616159226,0.6246291482595447,-2.2079728308063578,1.2601760640699653,0.1967651625958456,-0.2782019300835058,0.6246291482595445,0.7060872327437797,-3.2166414398911485,0.7866510194178022,0.1612741616159228,-0.2782019300835057,0.4550073586836419,0.7866510194177995,0.3643096955086543,0.1612741616159227,0.4550073586836418,-0.2782019300835057,0.0417731577639416,0.8656429283631009,0.7866510194178025,0.0887105242368312,0.3643096955086543,-3.216641439891149,0.3750526797569796,0.368819536825884,0.1920763643279119,0.1612741616159226,0.7060872327437797,3.20803771584299,-3.2166414398911485,-0.0990743113313833,0.7866510194178022,0.7866510194178022
GSM131074,1.038518024061177,0.2755253192739029,0.3643096955086544,0.7060872327437795,0.7060872327437799,-0.4927976971653273,0.2673195299844901,-0.0990743113313833,-0.546664794166265,0.2027308517075818,-0.1736983658627329,0.4550073586836418,-0.5466647941662649,0.7036236383401752,0.7060872327437797,0.7060872327437795,0.0635427015662172,0.1612741616159227,-0.546664794166265,0.3643096955086543,0.9334572280611144,0.2673195299844901,0.6246291482595446,0.4550073586836419,0.7866510194178022,0.7060872327437796,1.000064215314718,-0.0990743113313834,0.3643096955086543,0.1145733605282105,-0.0177112897647171,0.541310811606497,-0.0990743113313834,-0.5466647941662649,-0.2782019300835056,-0.1275707337704204,0.0417731577639416,-0.5466647941662652,0.7866510194178024,0.4550073586836419,0.0417731577639416,0.0417731577639415,0.541310811606497,0.4550073586836417,0.6246291482595446,0.5413108116064969,0.2673195299844899,0.0872432336926215,0.3643096955086543,-0.2782019300835057,0.7060872327437805,0.4550073586836419,0.0198178406019199,0.5393181396236276,1.2916446407343802,0.2673195299844899,0.7866510194178022,-0.0990743113313834,-0.0990743113313833,0.1612741616159226,-0.2782019300835058,0.7866510194178025,0.6246291482595447,-0.2782019300835082,0.7060872327437795,-3.2166414398911485,0.7060872327437795,0.5413108116064967,0.5413108116064971,0.3653336941868193,0.4550073586836418,0.966740883713505,0.6246291482595446,-0.5466647941662649,0.8992981252025294,0.8587789632541946,-0.282760719934473,0.4550073586836417,0.0417731577639416,1.468245496789775,-0.2782019300835057,0.7866510194178025,0.4550073586836414,0.6246291482595443
GSM131075,0.7465879469178172,0.7790093816355924,0.6246291482595446,0.5413108116064969,0.4550073586836418,-0.0678851745110703,0.541310811606497,-0.2782019300835057,-0.0990743113313833,-0.1018983590047475,-0.0211599949572657,0.2673195299844899,0.3643096955086544,0.4564805924204335,-0.2782019300835058,0.4550073586836417,0.4579650789230762,0.541310811606497,0.0417731577639415,-3.216641439891149,0.4576433281678701,0.6246291482595447,0.7060872327437795,0.6246291482595447,0.1612741616159226,-0.0990743113313834,0.6939094865523265,0.1612741616159226,-0.2782019300835057,-0.33287568729723,-0.1686565184343176,-0.2782019300835058,0.0417731577639415,0.26731952998449,-0.5466647941662649,0.0081685664249336,-0.5466647941662648,0.364309695508654,-3.2166414398911485,0.1612741616159228,0.3643096955086543,0.26731952998449,-3.216641439891148,-0.2782019300835058,0.5413108116064969,0.3643096955086544,0.6246291482595446,-0.0382913430628268,0.2673195299844899,-3.2166414398911485,0.5413108116064967,0.541310811606497,0.1204664120047716,-0.0643745198938056,0.7442049016651129,0.6246291482595446,-0.5466647941662651,0.0417731577639416,-0.5466647941662648,-0.0990743113313834,0.5413108116064971,-0.0990743113313833,0.2673195299844901,-3.2166414398911485,0.6246291482595447,0.7866510194178025,0.3643096955086544,0.7060872327437803,0.3643096955086545,-0.0956584347713432,0.1612741616159227,1.1236884878701343,0.4550073586836417,0.3643096955086543,1.051469670885233,0.6224378975740081,0.0103908787734207,0.3643096955086543,-0.0990743113313834,-0.094433098378956,0.3643096955086544,0.7060872327437795,-3.2166414398911494,-0.0990743113313835
GSM131076,0.3748210480822126,0.8571147602217033,0.7866510194178024,0.1612741616159226,0.1612741616159227,0.1792722844870776,0.4550073586836419,0.2673195299844901,0.3643096955086544,-2.138720214631052,0.2005430132542341,0.0417731577639415,-0.2782019300835058,0.2717356309200115,0.3643096955086544,0.0417731577639415,1.0086826831817872,0.7866510194178025,0.2673195299844899,0.1612741616159227,-0.5078069669640187,-0.2782019300835057,0.4550073586836417,0.3643096955086544,-0.0990743113313835,0.6246291482595447,0.4580446550642382,0.3643096955086543,-0.546664794166265,0.3598305983208933,0.2910373138612245,-0.0990743113313834,0.3643096955086542,0.4550073586836418,0.7060872327437825,0.4280404916080035,-0.0990743113313833,0.7060872327437793,0.5413108116064967,0.6246291482595447,0.5413108116064969,0.5413108116064969,-0.0990743113313834,-3.2166414398911485,0.3643096955086543,0.4550073586836418,0.1612741616159226,-0.1979442636988376,0.5413108116064969,0.3643096955086544,-3.2166414398911485,0.7060872327437797,0.6527506846765944,-0.4863191892478619,0.4538920817529274,0.1612741616159226,0.1612741616159226,0.2673195299844901,0.4550073586836418,0.0417731577639414,0.7866510194178026,0.4550073586836418,-0.0990743113313834,-0.5466647941662671,0.2673195299844901,0.7060872327437795,0.1612741616159227,0.4550073586836417,-0.5466647941662649,-0.5409385621338136,0.3643096955086543,0.5316525784172941,0.2673195299844901,0.7866510194178024,0.681669042258118,0.2743260730106115,0.3937851158523389,0.7060872327437795,-0.2782019300835058,-0.2693670637267839,0.7866510194178025,0.0417731577639416,0.364309695508654,-0.5466647941662651
GSM131077,-0.1907512532529128,0.3695558249159252,0.26731952998449,-0.2782019300835057,-0.0990743113313835,0.6964814417545068,0.6246291482595447,0.0417731577639416,0.7060872327437797,0.3434678692712147,0.5951187649218156,-0.0990743113313834,0.1612741616159227,-0.0889133071440193,-0.0990743113313834,-0.0990743113313834,0.9291572800399984,0.7060872327437796,0.7866510194178022,-0.2782019300835058,0.0593522504919835,0.7060872327437795,0.7866510194178024,0.0417731577639416,0.5413108116064969,-0.2782019300835057,0.1821112243654439,0.7866510194178025,-0.0990743113313834,0.6809795361495982,0.7965502563133889,-3.216641439891148,-0.2782019300835057,0.7866510194178024,-0.0990743113313834,1.0728923138566626,0.4550073586836418,0.7866510194178022,0.3643096955086543,-0.546664794166265,0.7060872327437795,0.6246291482595446,0.1612741616159228,0.3643096955086543,-0.0990743113313835,0.1612741616159227,0.3643096955086543,0.288268275585781,0.4550073586836417,0.7866510194178025,-0.0990743113313834,0.7866510194178025,1.099640413902498,0.1810566377099414,0.3744975463727309,0.7866510194178022,-0.2782019300835058,0.6246291482595449,0.7866510194178025,-3.2166414398911485,0.455007358683642,-3.2166414398911485,-3.216641439891148,0.2673195299844874,-0.0990743113313833,0.6246291482595447,-0.5466647941662649,0.2673195299844901,0.2673195299844901,0.0444620132333218,0.6246291482595447,0.2887034029634644,-0.2782019300835057,0.5413108116064967,0.7539446383055926,0.1710105035963507,0.8867768294072991,0.0417731577639415,0.1612741616159228,-2.009159282730908,0.6246291482595447,-0.2782019300835057,-0.5466647941662576,0.7060872327437838
